"NAME";"(O)NAME";"DATE_OF_BIRTH";"(O)DATE_OF_BIRTH";"PLACE_OF_BIRTH";"(O)PLACE_OF_BIRTH"
"Nerlens Noel";"Nerlens Noel";"1994-04-10";"1994-04-10";"Malden";"malden"
"Nerlens Noel";"Nerlens Noel";"1994-04-10";"1994-04-10";"Malden";"malden"
"Nerlens Noel";"Nerlens Noel";"1994-04-10";"1994-04-10";"Malden";"malden"
"Brook Lopez";"Brook Lopez";"1988-04-01";"1988-04-01";"North Hollywood";"northhollywood"
"Brook Lopez";"Brook Lopez";"1988-04-01";"1988-04-01";"North Hollywood";"northhollywood"
"Brook Lopez";"Brook Lopez";"1988-04-01";"1988-04-01";"North Hollywood";"northhollywood"
"Landry Fields";"Landry Fields";"1988-06-27";"1988-06-27";"Long Beach";"longbeach"
"Landry Fields";"Landry Fields";"1988-06-27";"1988-06-27";"Long Beach";"longbeach"
"Terrence Ross";"Terrence Ross";"1991-02-05";"1991-02-05";"Portland";"portland"
"Terrence Ross";"Terrence Ross";"1991-02-05";"1991-02-05";"Portland";"portland"
"Terrence Ross";"Terrence Ross";"1991-02-05";"1991-02-05";"Portland";"portland"
"Steve Novak";"Steve Novak";"1983-06-13";"1983-06-13";"Libertyville";"libertyville"
"Steve Novak";"Steve Novak";"1983-06-13";"1983-06-13";"Libertyville";"libertyville"
"Steve Novak";"Steve Novak";"1983-06-13";"1983-06-13";"Libertyville";"libertyville"
"Earl Clark";"Earl Clark";"1988-01-17";"1988-01-17";"Plainfield";"newark"
"Earl Clark";"Earl Clark";"1988-01-17";"1988-01-17";"Plainfield";"newark"
"Earl Clark";"Earl Clark";"1988-01-17";"1988-01-17";"Plainfield";"newark"
"Amar'e Stoudemire";"Amar'e Stoudemire";"1982-11-16";"1982-11-16";"Lake Wales";"lakewales"
"Amar'e Stoudemire";"Amar'e Stoudemire";"1982-11-16";"1982-11-16";"Lake Wales";"lakewales"
"Amar'e Stoudemire";"Amar'e Stoudemire";"1982-11-16";"1982-11-16";"Lake Wales";"lakewales"
"Chris Smith";"Chris Smith";"1987-10-13";"1987-10-13";"Millstone";
"Chris Smith";"Chris Smith";"1987-10-13";"1987-10-13";"Millstone";
"Chris Smith";"Chris Smith";"1987-10-13";"1987-10-13";"Millstone";
"Shannon Brown";"Shannon Brown";"1985-11-29";"1985-11-29";"Maywood";"maywood"
"Shannon Brown";"Shannon Brown";"1985-11-29";"1985-11-29";"Maywood";"maywood"
"Tim Hardaway, Jr.";"Tim Hardaway Jr.";"1992-03-16";"1992-03-16";"Miami";"miami"
"Tim Hardaway, Jr.";"Tim Hardaway Jr.";"1992-03-16";"1992-03-16";"Miami";"miami"
"Tim Hardaway, Jr.";"Tim Hardaway Jr.";"1992-03-16";"1992-03-16";"Miami";"miami"
"Jeremy Tyler";"Jeremy Tyler";"1991-06-21";"1991-06-12";"San Diego";"sandiego"
"Jeremy Tyler";"Jeremy Tyler";"1991-06-21";"1991-06-12";"San Diego";"sandiego"
"Jeremy Tyler";"Jeremy Tyler";"1991-06-21";"1991-06-12";"San Diego";"sandiego"
"Metta World Peace";"Metta World Peace";"1979-11-13";"1979-11-13";"Queensbridge";
"Metta World Peace";"Metta World Peace";"1979-11-13";"1979-11-13";"Queensbridge";
"Beno Udrih";"Beno Udrih";"1982-07-05";"1982-07-05";"Celje";"yugoslavia"
"Beno Udrih";"Beno Udrih";"1982-07-05";"1982-07-05";"Celje";"yugoslavia"
"Beno Udrih";"Beno Udrih";"1982-07-05";"1982-07-05";"Celje";"yugoslavia"
"Metta World Peace";"Metta World Peace";"1979-11-13";"1979-11-13";"Queensbridge";
"Kenyon Martin";"Kenyon Martin";"1977-12-30";"1977-12-30";"Saginaw";"saginaw"
"Kenyon Martin";"Kenyon Martin";"1977-12-30";"1977-12-30";"Saginaw";"saginaw"
"Kenyon Martin";"Kenyon Martin";"1977-12-30";"1977-12-30";"Saginaw";"saginaw"
"Gerald Henderson";"Gerald Henderson";"1956-01-16";"1987-12-09";"Richmond";"caldwell"
"Gerald Henderson";"Gerald Henderson";"1956-01-16";"1987-12-09";"Richmond";"caldwell"
"Gerald Henderson";"Gerald Henderson";"1956-01-16";"1987-12-09";"Richmond";"caldwell"
"Ryan Anderson";"Ryan Anderson";"1988-05-06";"1988-05-06";"Sacramento";"sacramento"
"Ryan Anderson";"Ryan Anderson";"1988-05-06";"1988-05-06";"Sacramento";"sacramento"
"Ryan Anderson";"Ryan Anderson";"1988-05-06";"1988-05-06";"Sacramento";"sacramento"
"Danny Green";"Danny Green";"1987-06-22";"1987-06-22";"North Babylon";"newyork"
"Danny Green";"Danny Green";"1987-06-22";"1987-06-22";"North Babylon";"newyork"
"Danny Green";"Danny Green";"1987-06-22";"1987-06-22";"North Babylon";"newyork"
"Carlos Boozer";"Carlos Boozer";"1981-11-20";"1981-11-20";"Aschaffenburg";"westgermany"
"Carlos Boozer";"Carlos Boozer";"1981-11-20";"1981-11-20";"Aschaffenburg";"westgermany"
"Carlos Boozer";"Carlos Boozer";"1981-11-20";"1981-11-20";"Aschaffenburg";"westgermany"
"John Henson";"John Henson";"1990-12-28";"1990-12-28";"Greensboro";"greensboro"
"John Henson";"John Henson";"1990-12-28";"1990-12-28";"Greensboro";"greensboro"
"John Henson";"John Henson";"1990-12-28";"1990-12-28";"Greensboro";"greensboro"
"Tristan Thompson";"Tristan Thompson";"1991-03-13";"1991-03-13";"Brampton";"canada"
"Tristan Thompson";"Tristan Thompson";"1991-03-13";"1991-03-13";"Brampton";"canada"
"Tristan Thompson";"Tristan Thompson";"1991-03-13";"1991-03-13";"Brampton";"canada"
"Shane Battier";"Shane Battier";"1978-09-09";"1978-09-09";"Birmingham";"birmingham"
"Shane Battier";"Shane Battier";"1978-09-09";"1978-09-09";"Birmingham";"birmingham"
